コンテナ番号,部署,入港日,希望納品日
コンテナA01,A部署,2022/2/5,2022/2/11
コンテナA02,A部署,2022/2/3,2022/2/6
コンテナA03,A部署,2022/2/3,2022/2/10
コンテナA04,A部署,2022/1/31,2022/2/3
コンテナA05,A部署,2022/1/31,2022/2/7
コンテナB01,B部署,2022/2/9,2022/2/15
コンテナB02,B部署,2022/1/31,2022/2/2
コンテナB03,B部署,2022/2/4,2022/2/7
コンテナB04,B部署,2022/2/5,2022/2/11
コンテナB05,B部署,2022/1/31,2022/2/2
コンテナC01,C部署,2022/1/27,2022/2/1
コンテナC02,C部署,2022/2/2,2022/2/8
コンテナC03,C部署,2022/2/3,2022/2/10
コンテナC04,C部署,2022/1/31,2022/2/2
コンテナC05,C部署,2022/2/8,2022/2/14
コンテナD01,D部署,2022/1/26,2022/2/2
コンテナD02,D部署,2022/2/3,2022/2/5
コンテナD03,D部署,2022/2/5,2022/2/8
コンテナD04,D部署,2022/2/5,2022/2/11
コンテナD05,D部署,2022/1/26,2022/2/2
コンテナE01,E部署,2022/2/9,2022/2/12
コンテナE02,E部署,2022/2/1,2022/2/7
コンテナE03,E部署,2022/2/2,2022/2/8
コンテナE04,E部署,2022/2/10,2022/2/15
コンテナE05,E部署,2022/2/9,2022/2/13
コンテナF01,F部署,2022/2/9,2022/2/11
コンテナF02,F部署,2022/1/27,2022/2/3
コンテナF03,F部署,2022/2/4,2022/2/10
コンテナF04,F部署,2022/1/26,2022/2/1
コンテナF05,F部署,2022/2/9,2022/2/11
コンテナG01,G部署,2022/2/4,2022/2/9
コンテナG02,G部署,2022/2/1,2022/2/8
コンテナG03,G部署,2022/1/30,2022/2/6
コンテナG04,G部署,2022/2/5,2022/2/11
コンテナG05,G部署,2022/2/7,2022/2/13
コンテナH01,H部署,2022/2/5,2022/2/8
コンテナH02,H部署,2022/1/31,2022/2/5
コンテナH03,H部署,2022/1/29,2022/2/5
コンテナH04,H部署,2022/1/29,2022/2/2
コンテナH05,H部署,2022/2/3,2022/2/10
コンテナI01,I部署,2022/2/6,2022/2/8
コンテナI02,I部署,2022/2/5,2022/2/8
コンテナI03,I部署,2022/2/3,2022/2/8
コンテナI04,I部署,2022/2/8,2022/2/10
コンテナI05,I部署,2022/2/6,2022/2/8
コンテナJ01,J部署,2022/1/29,2022/2/5
コンテナJ02,J部署,2022/2/5,2022/2/8
コンテナJ03,J部署,2022/2/6,2022/2/11
コンテナJ04,J部署,2022/2/9,2022/2/12
コンテナJ05,J部署,2022/1/31,2022/2/4
